iter	Logloss
0	0.687587298
1	0.6819168676
2	0.6765719925
3	0.6716106345
4	0.6669837777
5	0.6633396338
6	0.6590314055
7	0.6547931479
8	0.6502581019
9	0.6458183372
10	0.6405034531
11	0.6362001046
12	0.6320630856
13	0.6272255955
14	0.6228872999
15	0.618520295
16	0.6153358302
17	0.6111381876
18	0.60917228
19	0.6052128753
20	0.6012898482
21	0.5970008692
22	0.5935033226
23	0.5906458671
24	0.5871349248
25	0.5853100482
26	0.5824813377
27	0.579755499
28	0.5768565691
29	0.5739048696
30	0.5703659522
31	0.5676395395
32	0.5641604047
33	0.5617108377
34	0.5591243003
35	0.5569365331
36	0.5536005152
37	0.5505419388
38	0.5473776431
39	0.5448547814
40	0.5416479996
41	0.5396948838
42	0.537765892
43	0.53525983
44	0.5331652579
45	0.5315161602
46	0.5289758516
47	0.5263271342
48	0.5249466319
49	0.5229532625
50	0.5206518915
51	0.5177866032
52	0.5155787492
53	0.5140412221
54	0.5119878135
55	0.5100781242
56	0.5090187403
57	0.5072179591
58	0.5055847427
59	0.5039873087
60	0.5025902748
61	0.5006894719
62	0.4986693393
63	0.4967981677
64	0.4949834293
65	0.4932288929
66	0.4916957022
67	0.4894807781
68	0.4887286374
69	0.4869039729
70	0.4852194784
71	0.4839053785
72	0.4821549997
73	0.4818264306
74	0.4803206912
75	0.4788492268
76	0.4775689043
77	0.4763982745
78	0.4749633445
79	0.473797199
80	0.4724850533
81	0.4712903728
82	0.4702283653
83	0.4693426652
84	0.4684754962
85	0.4679116376
86	0.4663669606
87	0.4651020059
88	0.4636535806
89	0.462241924
90	0.4609375829
91	0.4598288259
92	0.4590235077
93	0.4578559349
94	0.4565175543
95	0.4554763492
96	0.4542826527
97	0.4533383279
98	0.4526114906
99	0.4519426275
100	0.4506499282
101	0.4496323777
102	0.4487617743
103	0.4481345634
104	0.4469428952
105	0.4460059849
106	0.4453781673
107	0.4442724352
108	0.4431448166
109	0.4421683358
110	0.4412997529
111	0.4404988164
112	0.4391212426
113	0.4380205262
114	0.4368927643
115	0.4360839763
116	0.435252644
117	0.4345017784
118	0.4335807421
119	0.4324269203
120	0.4317740461
121	0.4308892526
122	0.4304167722
123	0.4294359973
124	0.4282232129
125	0.4274372624
126	0.4263939294
127	0.4258859312
128	0.4253715789
129	0.4244744676
130	0.4241802543
131	0.4235834106
132	0.4226966102
133	0.422257591
134	0.4212951773
135	0.420541765
136	0.4196289554
137	0.4189865066
138	0.4180283318
139	0.4173040349
140	0.41654642
141	0.4157197914
142	0.414956558
143	0.4140084018
144	0.4133596748
145	0.4127106835
146	0.4121784335
147	0.4115307166
148	0.4109512848
149	0.4103894974
150	0.4096727112
151	0.4092988001
152	0.4084204096
153	0.4073088181
154	0.4065726789
155	0.4058509302
156	0.4051206235
157	0.4046161511
158	0.4039262978
159	0.4034188082
160	0.4029214094
161	0.4024038934
162	0.4017738194
163	0.4014521795
164	0.4007947293
165	0.4002595441
166	0.3995258616
167	0.3988834431
168	0.3981716664
169	0.3976373135
170	0.3972111373
171	0.3967650391
172	0.3959984308
173	0.3955544574
174	0.3952128369
175	0.3945317983
176	0.3939600237
177	0.3931527539
178	0.3925897292
179	0.3920014595
180	0.3914314687
181	0.3908989095
182	0.3904146805
183	0.389965418
184	0.3893943543
185	0.3886564634
186	0.3880885182
187	0.3878030593
188	0.3871319605
189	0.3866145971
190	0.3862806536
191	0.3856496272
192	0.3850397881
193	0.3844415597
194	0.3837767706
195	0.3832866694
196	0.3829477666
197	0.3824542167
198	0.3820307183
199	0.3815474122
200	0.3811068722
201	0.3802164523
202	0.3797694133
203	0.3792231482
204	0.3788195382
205	0.3784000142
206	0.3779626822
207	0.3773778011
208	0.376956914
209	0.3765445644
210	0.3760069505
211	0.3752811768
212	0.3748341536
213	0.3742923737
214	0.37371239
215	0.3732358596
216	0.3727331512
217	0.3723003737
218	0.3717808298
219	0.3713955028
220	0.371045953
221	0.3706815951
222	0.3701802099
223	0.3698007959
224	0.3693023315
225	0.3688132788
226	0.3683930419
227	0.3677797538
228	0.3673427127
229	0.3668811917
230	0.3665613462
231	0.3662720605
232	0.3657860912
233	0.3653825008
234	0.3648984833
235	0.3644417488
236	0.3642603507
237	0.363664641
238	0.363319752
239	0.362848096
240	0.3622176476
241	0.3618465869
242	0.3614545907
243	0.3609656645
244	0.3605001438
245	0.3601363191
246	0.3597768123
247	0.3594193237
248	0.3590788704
249	0.3588580779
250	0.3587187699
251	0.3583769071
252	0.3580191103
253	0.3574640944
254	0.3570609596
255	0.3567971919
256	0.3563489124
257	0.3559535103
258	0.3554424469
259	0.355019162
260	0.3546812214
261	0.3543314632
262	0.3538450705
263	0.3533472073
264	0.353091123
265	0.3527156443
